,GeoFips,GeoName,year,MEDINC,MEDVAL,MOE,UMEDVAL,LMEDVAL,PERINC,POP,RPPALL,RPPGOODS,RPPRENT,RPPSOTH,IPD
144,24780,"Greenville, NC (Metropolitan Statistical Area)",2019,43325,148600,4413,153013,144187,7830577,180742,87.4,96.6,65.7,95.1,95.2
145,24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",2019,45436,163400,1312,164712,162088,41822381,920477,90.7,96.4,74.1,95.1,98.7
146,25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",2019,37792,142500,2437,144937,140063,15784326,417665,87.2,96.6,69.6,90.5,95
147,25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",2019,45281,195300,3216,198516,192084,13045602,288104,96.2,99,79.7,105,104.7
148,25220,"Hammond, LA (Metropolitan Statistical Area)",2019,38800,162800,4513,167313,158287,5228657,134758,86.3,92.3,72.2,90.9,94
149,25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",2019,39433,215900,4963,220863,210937,6030809,152940,95.2,102.8,80.8,97.7,103.6
150,25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",2019,53871,183400,1589,184989,181811,31134512,577941,95.9,98.9,86.5,97.9,104.4
151,25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",2019,41312,209300,4762,214062,204538,5575624,134964,91.9,92.5,86.2,95,100
152,25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",2019,65132,249200,1406,250606,247794,78476365,1204877,102.5,99.2,106,103.9,111.6
153,25620,"Hattiesburg, MS (Metropolitan Statistical Area)",2019,39018,137100,5735,142835,131365,6588139,168849,84.7,92.5,65.1,90.3,92.2
154,25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",2019,40826,131600,2192,133792,129408,15093644,369711,87.4,96.6,61,95.1,95.1
155,25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",2019,55551,285400,5724,291124,279676,12343180,222195,95.2,92.5,100,95,103.6
156,25980,"Hinesville, GA (Metropolitan Statistical Area)",2019,34962,124100,4177,128277,119923,2831749,80994,91.6,92.5,86.6,95.1,99.7
157,26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",2019,39055,131500,3996,135496,127504,5844856,149657,89.1,92.5,77.8,95,97
158,26300,"Hot Springs, AR (Metropolitan Statistical Area)",2019,41069,139900,6110,146010,133790,4081660,99386,85,92.3,68.8,90.9,92.6
159,26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",2019,43927,155100,2745,157845,152355,9140203,208075,88.1,96.5,71.4,91.3,95.9
160,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",2019,58890,193900,821,194721,193079,416121512,7066141,101.7,95.6,104.7,106.8,110.8
161,26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",2019,41368,120600,2635,123235,117965,14721817,355873,85.6,96,56.5,94.9,93.2
162,26620,"Huntsville, AL (Metropolitan Statistical Area)",2019,52110,179700,2551,182251,177149,24586808,471824,89,96.8,70.6,90.5,96.9
163,26820,"Idaho Falls, ID (Metropolitan Statistical Area)",2019,47443,183000,4217,187217,178783,7189022,151530,91,97.7,76.2,93.8,99.1
164,26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",2019,56360,163100,904,164004,162196,116920707,2074537,91.1,95.3,83.2,91.3,99.2
165,26980,"Iowa City, IA (Metropolitan Statistical Area)",2019,55834,216000,4178,220178,211822,9665204,173105,92.9,94.6,91,92.1,101.1
